axiuluo         ssr 阿修罗，修
guibingbu_yuling        御灵不用管
guijinyang              ssr 鬼金羊，羊
guinvhongye_bat         sr红叶
gunv                    sr骨女
haifangzhu              sr海坊主
half_ball               不用管
half_ball_s15           不管
heiqingming             阴阳师 晴明
hetong                  r河童
hl_ciqiu_mini           契灵不用管
hl_heimao_mini          不管
hl_huoling_mini         不管
hl_huoling_mini_c1      不管
hl_tihun_mini           不管
hl_yuemotu_mini         不管
hl_yuzaohu_mini         不管
hl_zhenmushou_mini         不管
hl_zhennv_mini      不管
huangtianxiegui     n 天邪鬼黄
hudiejing           r 蝴蝶精
huibishou           sr惠比寿
huojinshen_show     ssr祸津神，祸
j_axiuluo           修
j_baiwuchang        白无常
j_beimihu           卑
j_beimihu_show      卑
j_bingyong          兵
j_bore              sr般若，般
j_bujianyue         岳
j_bujianyue_show    岳
j_chishe            n赤舌
j_choushizhinv      丑
j_cimutongzi        茨
j_dishitian         帝
j_egui                 饿鬼
j_erkounv           sr二口女
j_fansi             ssr饭笥
j_fenghuanghuo      凤凰火
j_fengyangjun          封
j_fengyangjun_show      封
j_geye      葛
j_geye_show 葛
j_guanhu    管狐
j_guhuoniao     姑姑
j_guijinyang        羊
j_guinvhongye_bat   红叶
j_guiqie        鬼切
j_gunv          骨女
j_hetong        河童
j_hudiejing     蝴蝶精
j_huibishou     惠比寿
j_huojinshen    祸
j_jiaotu    椒图
j_jiumingmao    九命猫
j_jiutuntongzi  酒吞童子
j_jue       r 觉
j_kuileishi  sr傀儡师
j_liangmianfo   ssr两面佛，佛
j_limao         r狸猫
j_long      ssr泷
j_maochuan  ssr猫川
j_mengpo        sr孟婆
j_panguan       sr判官
j_pingjiangmen  ssr平将门 平
j_qianji       千姬，千
j_qianji_wuqi   千
j_qingji        sr清姬
j_qingwaciqi    r青蛙瓷器
j_qingxingdeng  ssr青行灯，灯
j_qinmo         这个不知道 但是应该不关键
j_quanshen_bat  sr犬神
j_sanweihu      r三尾狐
j_shantong      r山童
j_shantu        山兔
j_shenwuyue     ssr神无月，神
j_shijiamei     ssr市加美，市
j_shijiamei_show        市
j_shiling       ssr食灵
j_shimengmo     sr食梦貘，睡猪，猪
j_shouwu        r首无
j_sijinshen     ssr思金神，思
j_sijinshen_show        思
j_ssr_huangkulou        骷
j_taohuayao         sr桃花妖
j_tiaotiaogege      sr跳跳哥哥，跳哥
j_tiaotiaomeimei        r跳跳妹妹，跳妹
j_tiaotiaoxiaogui      r 跳弟
j_tieshu            r铁鼠
j_tongnan           r童男
j_wugushi_bat       sr巫蛊师
j_wushizhiling      r武士之灵
j_xiaobai           sr白童子
j_xixueji           sr吸血姬
j_xuenv             sr雪女
j_xueyuqian         太奶
j_xunxiangxing      ssr寻香行，寻
j_yanling           ssr言灵，言
j_yanluowang        阎
j_yaodaoji          ssr妖刀姬，妖刀
j_yaohu             sr妖狐
j_yatiangou         r鸦天狗
j_yedaoshen         ssr夜刀神
j_yimulian          ssr一目连，连，一目
j_yingcao           r萤草
j_yunv_bat          r雨女
j_zuofutongzi_bat   r座敷童子
jiaotu              r椒图
jishenghun          r寄生魂
jiumingmao      九命猫
jiutuntongzi    酒吞童子
jiuzhuozhiren      小纸人 不用管
jue         觉
kitty           不用管 估计是宠物
kongquebai      孔雀
kuileishi       傀儡师
landandan_yunwaijing        ssr云外镜
lianyou         sr镰鼬
limao           狸猫
liyujing        r鲤鱼精
lvtianxiegui        天邪鬼绿
mao01               不管
mengpo      孟婆
mibaoxiaozhiren     小纸人不用管
npc_caipanguiwang   npc不管
npc_shenghezhou_suti npc不管
npc_shijiameicaipan npc不管
npc_yanshou_bai npc不管
pingjiangmen        平
pingjiangmen_show   平
q_baicangzhu    白藏主，小白
q_buzhihuo      ssr不知火 离
q_geliuduo      ssr歌留多，歌
q_longjue       ssr龙珏，泷
q_qingming        阴阳师晴明
q_sp_baizangzhu     sp白藏主，sp白
q_sp_sanweihu       sp三尾狐，sp狐，狐（斗技基本都用sp三尾狐，r卡的三尾狐很弱基本不会有人用 所以只要识别到sanweihu就默认是sp）
q_sphuang           sp荒（荒也是同理，只会是sp，ssr荒太弱了不会有人用）
q_ur_yaodaoji       ur妖刀姬（妖刀也是，不会有人用ssr 只会用ur）
q_xunyin            ssr巡音，巡
q_yedaoshen         夜刀神
q_yuanboya          阴阳师源博雅
qianji              千
qianji_wuqi         千
qilin               boss麒麟不用管
qilinxiaoguai       boss麒麟不用管
qilinxiaoguai_feng      boss麒麟不用管
qilinxiaoguai_lei       boss麒麟不用管
qilinxiaoguai_shui      boss麒麟不用管
qingtianxiegui      n天邪鬼青
qingwaciqi          青蛙瓷器
qinmo               看不懂不用管
s10_buzhihuo            离
s10_datiangou       ssr大天狗
s10_dishitian       帝
s10_zhujue01        不用管
s11_buzhihuo        离
s11_buzhihuo_show   离
s11_datiangou       大天狗
s11_zhujue01        不管
s11_zhujue02        不管
s12_zhujue01        不管
s12_zhujue03        不管
s13_zhujue01        不管
s13_zhujue02        不管
s13_zhujue03        不管
s14_zhujue04        不管
s15_zhujue01        不管
s15_zhujue02        不管
s16_zhujue01        不管
s16_zhujue02        不管
s1_axiuluo      修
s1_baizangzhu   白藏主，小白
s1_bazhiwu      不管
s1_bianhua      ssr彼岸花，花
s1_buzhihuo     离
s1_dasheshen    不管
s1_guibingbu_yuling 不管
s1_guijinyang 羊
s1_haifangzhu 海坊主
s1_heibao   不管
s1_huajing  sr化鲸
s1_huojinshen   祸
s1_ji   ssr季
s1_kongquebai   孔雀
s1_lingluyuqian ssr铃鹿御前，06
s1_longjue      龙珏，龙
s1_luoxinfu     sr络新妇
s1_maochuan     猫川
s1_maochuan_xiaomao     猫川
s1_q_dishitian      帝
s1_q_guijinyang     羊
s1_q_haifangzhu     海坊主
s1_q_shantu            山兔
s1_q_xunxiangxing       寻
s1_shenlongbeidou       不管
s1_shenwuyue        神无月
s1_sp_huang         荒
s1_sp_huangchuan    sp荒川之主，浪川
s1_sp_huaniaojuan   sp花鸟卷，sp卷
s1_sp_huiyeji       因
s1_sp_huiyeji_show     因
s1_sp_jiumingmao_show   sp九命猫，sp猫（九命猫也是，只会用sp，不会用r）
s1_sp_longyechaji       sp泷夜叉姬，sp茶几
s1_sp_qingji            sp缚骨清姬，sp清姬，缚姬
s1_sp_qingji_xiaoshe    缚姬
s1_sp_sanweihu      sp狐
s1_sp_xingxiongtongzi       sp星熊
s1_sp_xingxiongtongzi_show  sp星熊
s1_sp_xuenv     sp雪女
s1_sp_yanmo     sp阎魔，摩托，摩
s1_sp_yanmo_long    摩
s1_sp_yunwaijing    sp禅心云外镜，禅镜，禅
s1_sp_zuofutongzi   sp座敷童子，扭蛋
s1_ssr_huangkulou   骷
s1_tiaotiaogege     跳哥
s1_xiaosongwan  sr小松丸
s1_xiaoxiuzhishou   r小袖之手
s1_xingxiongtongzi  sr星熊
s1_xunxiangxing_show    寻
s1_xuzuozhinan      ssr须佐之男，须
s1_xuzuozhinan_leizhong 须
s1_yanling          言
s1_yanluowang       阎
s1_yaodaoji         妖刀
s1_yedaoshen        夜刀神
s1_yimulian         连
s1_yueduming        ssr月读，月
s1_yueduming_zhaohuanwu 月读
s1_yunv_bat         r雨女，雨
s1_yunwaijing       ssr云外镜，镜子
s1_zhujue01_tingyuan        不管
s1_zhujue03     不管
s1_zhujue05     不管
s1_zhujue06     不管
s1_zhujue06_lingti      不管
s1_zuofutongzi  座敷童子
s2_baizangzhu   小白
s2_beimihu      卑
s2_beimihu_show 卑
s2_bianhua  花
s2_bujianyue    岳
s2_dasheshen    不管
s2_erkounv_show 二口女
s2_fengyangjun  封
s2_guhuoniao_damo   姑姑
s2_heibao   不管
s2_huajing  化鲸
s2_huojinshen   祸
s2_jiaotu   椒图
s2_lingluyuqian 06
s2_long 泷
s2_longjue  龙
s2_pingjiangmen 平
s2_shenlongbeidou       不管
s2_shiling              食灵，食
s2_sp_bujianyue         sp岳
s2_sp_bujianyue_show        sp岳
s2_sp_huiyeji           因
s2_sp_jiutuntongzi      鬼吞
s2_sp_qingji            缚姬
s2_sp_sanweihu          sp狐
s2_sp_shanfeng          sp山风，岚
s2_sp_shanfeng_show     岚
s2_sp_shanfeng_ying     岚
s2_sp_xiaolunan         sp小鹿男，鹿
s2_sp_xuenv             sp雪
s2_tianzhao             ssr天照，照
s2_tieshu               r铁鼠
s2_xiazhongshaonv       sr匣中少女，匣子，匣
s2_yanluowang           阎
s2_yatiangou            r鸦天狗
s2_yimulian         连
s2_yixienamei       ssr伊邪那美，小美，美
s2_yunwaijing       镜子
s2_yuzhuanjin       ssr御馔津，驴
s2_zhujue01_bat     不管
s2_zhujue03         不管
s2_zhujue04         不管
s2_zhujue05         不管
s2_zuofutongzi      座敷
s3_axiuluo_show     修
s3_bianhua      花
s3_buzhihuo     离
s3_dasheshen        不管
s3_dishitian        帝
s3_guhuoniao        姑姑
s3_huang        ssr荒
s3_jiaotu           椒图
s3_lianyou          镰
s3_lingyanji        ssr铃彦姬
s3_longyechaji      ssr泷夜叉姬
s3_mianlingqi_show      ssr面灵气
s3_qingxingdeng     ssr青行灯
s3_shiling      食灵
s3_shiling_show     食灵
s3_sp_dayuewan      sp麓铭大岳丸，麓丸，麓
s3_sp_dayuewan_eling    麓丸
s3_sp_huaniaojuan       sp卷
s3_sp_jiutuntongzi      鬼吞
s3_sp_yuanjieshen       sp缘结神，大缘
s3_sp_yunwaijing        禅
s3_xiaobai      小白
s3_xienv        sr蝎女
s3_yinghuayao   sr樱花妖
s3_yuzaoqian        ssr玉藻前，大舅
s3_zhujue05         不管
s3_zuofutongzi      座敷
s4_bianhua      花
s4_buzhihuo     离
s4_dayuewan     ssr大岳丸
s4_dishitian        帝
s4_lingluyuqian     06
s4_maoyou       不管
s4_qianji       千
s4_qianji_wuqi  千
s4_sp_bore      sp御怨般若，芋圆
s4_sp_bore_show 芋圆
s4_sp_guiqie    奶切
s4_sp_jiutuntongzi  鬼吞
s4_sp_jiutuntongzi_show 鬼吞
s4_sp_zhuiyueshen       sp追月神，追
s4_wannianzhu       sr万年竹
s4_xiaobai          小白
s4_yanling          言
s4_yanluowang       阎
s4_yijinzhentian        sr以津真天
s4_yuzhuanjin           驴
s4_zhuiyueshen          sr追月神（这个斗技几乎不用，都用sp追）
s4_zhujue02_tingyuan    不管
s4_zhujue03_tingyuan        不管
s4_zhujue05                 不管
s4_zuofutongzi      座敷
s5_baizangzhu       小白
s5_bianhua          花
s5_choushizhinv     丑
s5_choushizhinv_caoren      丑
s5_cimutongzi       茨
s5_mianlingqi       ssr面灵气，面
s5_qianji           千
s5_sp_jiutuntongzi      鬼吞
s5_sp_yuanjieshen       禅
s5_sp_zhuiyueshen       sp追
s5_tianzhao             照
s5_xuetongzi            ssr雪童子
s5_xuetongzi_show       ssr雪童子
s5_yanluowang           阎
s5_yaohu                sr妖狐
s5_yaohu_show           sr妖狐
s5_zhen                 sr鸩
s5_zhujue01_bat                    不管
s5_zhujue01_tingyuan           不管
s5_zhujue02_bat           不管
s5_zhujue03_tingyuan           不管
s6_dasheshen           不管
s6_huiyeji              ssr辉夜姬，小辉夜，辉
s6_rihefang_show        sr日和坊
s6_shantu               兔
s6_zhujue03_bat         追月神
s7_guiqie               ssr鬼切
s7_mianlingqi           ssr面灵气，ssr面，面
s7_yingcao              r萤草
s7_yingcao_show         r萤草
s7_zhujue01_bat            不管
s7_zhujue01_tingyuan           不管
s7_zhujue02_bat           不管
s7_zhujue03           不管
s7_zhujue04_bat           不管
s7_zhujue04_tingyuan           不管
s8_bianhua      花
s8_buzhihuo     离
s8_lingluyuqian     ssr铃彦姬
s8_mianlingqi       面
s8_zhujue03                不管
s9_buzhihuo         离
s9_dishitian        帝
s9_dishitian_show   帝
s9_zhujue01            不管
s9_zhujue02           不管
s9_zhujue02_show           不管
s9_zhujue04           不管
s9_zhujue04_show           不管
sanweihu            r三尾狐
shantong            r山童
shantu              r山兔
shenlongbeidou                 不管
shenwuyue           神无月
shifagui            r食发鬼
shifagui_bat        r食发鬼
shijiamei           市
sijinshen           思
sijinshen_show      思
sp_baizangzhu       sp白
sp_bianhua          sp彼岸花，sp花
sp_bujianyue        sp岳
sp_bujianyue_show   sp岳
sp_dayuewan         麓丸
sp_dayuewan_eling   麓丸
sp_dayuewan_show    麓丸
sp_guinvhongye      sp红叶，sp叶（sr红叶几乎没用，斗技99.99%都是sp叶）
sp_guiqie           sp鬼切，奶切
sp_guiqie_01        奶切
sp_huang            sp荒
sp_huibishou        sp惠比寿，老头（斗技只会有sp惠比寿，sr版本没用）
sp_huiyeji          因幡
sp_jinnaluo         sp紧那罗，sp紧
sp_jiumingmao       sp猫
sp_jiutuntongzi     鬼吞
sp_lingyanji        sp铃彦姬，sp017
sp_lingyanji_show       sp017 
sp_longyechaji          sp泷夜叉姬，sp茶几
sp_mianlingqi       sp面
sp_mianlingqi_show          sp面
sp_qingji               缚姬
sp_qingji_xiaoshe          缚姬
sp_qingxingdeng         sp青行灯，sp灯
sp_quanshen             sp犬神，sp犬
sp_rihefang_qingtianwawa        sp日和坊
sp_sanweihu         sp狐
sp_shanfeng           岚
sp_shanfeng_ying01      岚
sp_shantu           sp兔
sp_shantu_qingwa    sp兔
sp_taohuayao        sp桃花妖
sp_xiaolunan        sp鹿
sp_xingxiongtongzi      sp星熊
sp_xixueji          sp吸血姬
sp_xixueji_show     sp吸血姬
sp_xuenv            sp雪
sp_yanmo        摩
sp_yanmo_long       摩
sp_yingcao      sp萤草
sp_yunwaijing   禅
sp_zuofutongzi  扭蛋
sp_zuofutongzi_show     扭蛋
ssr_huangkulou          骷
ssr_huangkulou_show 骷
tangzhisanyao       n唐纸伞妖
taohuayao       sr桃花妖
tiaotiaogege    跳哥
tiaotiaomeimei  跳妹
tiaotiaoquan    跳妹
tiaotiaoxiaogui 跳弟
tidengxiaoseng  n提灯小僧
tieshu          r铁鼠
tongnan         r童男
tubi            r涂壁
ur_yaodaoji     ur妖刀，ur妖刀姬，ur刀
ur_yaodaoji_show    ur妖刀姬（妖刀也是，不会有人用ssr
wugushi_bat         r巫蛊师
wushizhiling            r武士之灵
xiaosongwan_songgou     sr小松丸
xiaozhiren                         不管
xiaozhiren_axiuluo           不管
xiaozhiren_dishitian           不管
xiaozhiren_shenshebaizangzhu           不管
xiaozhiren_shenshebuzhihuo           不管
xiaozhiren_shenshesphuiyeji           不管
xiaozhiren_shitu           不管
xiazhongshaonv      匣子
xuenv       sr雪女
xueyuqian   太奶
xueyuqianhudie      太奶
yanluowang          阎
yanluowang_jb_01    阎
yanluowang_jb_03    阎
yanluowang_jb_05    阎
yaohu       sr妖狐
yatiangou   r鸦天狗
yimulian    连
yingcao     r萤草
yixienamei      美
yueduming_yulanyueqiu           月读
yunv_bat                雨
zhanweixiaogui                     不管
zhanweixiaogui_hei           不管
zhoushen                n帚神
zhujue01_bat               不管
zhujue01_tingyuan           不管
zhujue02_bat           不管
zhujue02_tingyuan           不管
zhujue03_bat           不管
zhujue03_new           不管
zhujue03_tingyuan           不管
zhujue05           不管
zhujue06           不管
zuofutongzi_bat     座敷
